Trail,Dose,Well,Minute,MD,MV,TD
1,1,A1,1,0.241044194,7.231224042,428.817622
1,1,A1,2,0.26828662,8.048487302,475.40389
1,1,A1,3,0.256433034,7.692882609,456.963666
1,1,A1,4,0.22728177,6.818352686,402.743296
1,1,A1,5,0.25395608,7.618572362,445.185008
1,1,A1,6,0.14335821,4.300684148,255.034255
1,1,A1,7,0.109668161,3.289997576,182.816825
1,1,A1,8,0.161716976,4.851443049,202.631371
1,1,A1,9,0.266805451,8.004057645,470.111204
1,1,A1,10,0.319208262,9.576101781,560.848916
1,1,A1,11,0.291872199,8.75603319,515.154432
1,1,A1,12,0.258138466,7.744047791,452.258593
1,1,A1,13,0.216405614,6.492073225,384.552776
1,1,A1,14,0.347495183,10.42470224,614.023989
1,1,A1,15,0.263580142,7.907295051,441.496738
1,1,A1,16,0.189722162,5.691578764,336.187671
1,1,A1,17,0.141906266,4.257134219,252.593153
1,1,A1,18,0.145569393,4.367022707,258.094534
1,1,A1,19,0.14734742,4.420364829,263.015145
1,1,A1,20,0.144935219,4.347994017,259.434042
1,1,A1,21,0.222802155,6.683965924,396.810638
1,1,A1,22,0.306419688,9.192462225,535.621615
1,1,A1,23,0.327603392,9.827960023,572.323126
1,1,A1,24,0.318242552,9.547135106,554.060283
1,1,A1,25,0.271576387,8.147170794,475.530253
1,1,A1,26,0.436744125,13.10234,10.481859
,,,,,,
1,1,A2,1,0.168469509,5.054018727,297.685622
1,1,A2,2,0.180290875,5.408652658,319.47543
1,1,A2,3,0.194593864,5.837734448,347.350047
1,1,A2,4,0.231836191,6.954990965,406.177006
1,1,A2,5,0.1878307,5.634838556,329.079387
1,1,A2,6,0.128712918,3.861333793,229.752558
1,1,A2,7,0.169102184,5.07298941,280.878727
1,1,A2,8,0.242025696,7.260667402,309.308839
1,1,A2,9,0.164637839,4.939072038,293.219991
1,1,A2,10,0.110420869,3.312579792,196.659567
1,1,A2,11,0.185876586,5.576221683,329.187434
1,1,A2,12,0.178153425,5.344527701,315.331563
1,1,A2,13,0.173749069,5.212402866,307.362103
1,1,A2,14,0.199112417,5.973290108,350.836078
1,1,A2,15,0.17377053,5.213038556,290.023015
1,1,A2,16,0.174889958,5.246631341,313.053024
1,1,A2,17,0.143596135,4.307825526,255.170332
1,1,A2,18,0.208905183,6.267062465,370.388889
1,1,A2,19,0.275666777,8.269900728,492.065197
1,1,A2,20,0.247841189,7.435125877,440.661634
1,1,A2,21,0.281974923,8.459127164,495.147965
1,1,A2,22,0.142913621,4.287345613,247.240564
1,1,A2,23,0.217138353,6.514060182,381.729224
1,1,A2,24,0.202152999,6.064504136,350.937606
1,1,A2,25,0.231670678,6.950010696,406.118698
1,1,A2,26,0.110227154,3.306758077,2.865906
,,,,,,
1,1,A3,1,0.032185363,0.96554877,57.322132
1,1,A3,2,0.084474603,2.534202665,149.94242
1,1,A3,3,0.212459129,6.373690165,374.140527
1,1,A3,4,0.134664154,4.039870023,236.470255
1,1,A3,5,0.189740957,5.692145102,326.544187
1,1,A3,6,0.122558539,3.676709066,217.786523
1,1,A3,7,0.078311982,2.349327173,128.823211
1,1,A3,8,0.153325064,4.599683566,193.496231
1,1,A3,9,0.247319434,7.419481631,427.615302
1,1,A3,10,0.318367602,9.550889258,561.918817
1,1,A3,11,0.150894716,4.526774341,255.464754
1,1,A3,12,0.161183616,4.835442594,275.301616
1,1,A3,13,0.150455481,4.513602104,259.535704
1,1,A3,14,0.197563002,5.926799701,343.166934
1,1,A3,15,0.147394116,4.421760898,241.284168
1,1,A3,16,0.200727327,6.021740707,355.086641
1,1,A3,17,0.197057432,5.911634414,346.426965
1,1,A3,18,0.195141932,5.854178285,340.132387
