Trail,Dose,Well,Minute,MD,MV,TD
2,1,B5,21,0.316148182,9.484302954,558.633837
1,1,A6,10,0.381735078,11.4518957,538.24646
2,1,A2,11,0.301146153,9.034254009,525.801183
3,1,A3,3,0.303701854,9.110924155,519.633872
3,1,A4,14,0.285631382,8.568819365,504.139389
2,1,A3,21,0.326082121,9.782320622,503.144713
3,1,A4,13,0.285985697,8.579451429,502.190884
2,1,B4,24,0.300354112,9.010498937,491.679682
2,1,B4,4,0.287502349,8.624946782,488.753993
2,1,A2,10,0.278601975,8.357946323,488.667864
2,1,B4,23,0.28619633,8.585766416,487.964742
1,1,A6,9,0.278261644,8.347728511,485.84483
2,1,B4,14,0.269277206,8.078202931,468.542339
2,1,B3,10,0.262502156,7.874959949,466.728834
2,1,B4,5,0.261083227,7.832384594,462.639478
2,1,B4,15,0.265388127,7.96153182,459.386847
1,1,A4,11,0.268817401,8.064409241,456.989582
2,1,A4,21,0.254829717,7.644792663,449.77445
2,1,B2,1,0.266669095,7.999964192,449.070756
2,1,B4,3,0.248963851,7.468812087,444.898401
3,1,A4,2,0.253465754,7.603868242,442.551206
2,1,B2,21,0.250411892,7.512245303,441.97699
2,1,A2,9,0.245350406,7.360409515,429.608561
2,1,A5,10,0.240564949,7.216855397,420.748096
2,1,A3,11,0.282179342,8.465261617,418.754143
3,1,A4,25,0.234468596,7.033958046,416.416226
2,1,B2,14,0.261234155,7.836913547,415.362306
3,1,A4,12,0.232533835,6.975916865,409.492084
1,1,A4,21,0.257289521,7.718557403,404.201837
3,1,A1,22,0.227966244,6.83888118,388.454479
2,1,A4,25,0.242633456,7.278902314,384.816662
2,1,B5,20,0.218102686,6.542993544,383.424522
2,1,A4,1,0.232564554,6.976838599,381.870998
2,1,B4,13,0.220656868,6.619615041,380.412441
3,1,A2,4,0.211389534,6.341597796,379.866992
2,1,A4,3,0.243854837,7.315540598,379.438127
1,1,A4,9,0.223384175,6.701428288,378.412793
2,1,A5,3,0.216543185,6.4962143,377.218229
2,1,B3,21,0.219969799,6.599001772,373.728689
2,1,A2,15,0.235082819,7.052390372,373.076433
2,1,B3,3,0.236136209,7.083981973,370.969985
2,1,A4,12,0.224111212,6.723242369,367.094166
2,1,A3,20,0.228418605,6.852465678,365.698186
2,1,A5,24,0.211105084,6.3330581,365.634005
3,1,A1,23,0.209533064,6.285905331,363.958933
2,1,B2,4,0.268919953,8.067479467,358.201377
2,1,A5,11,0.203172632,6.095095531,355.958452
2,1,B5,11,0.20202828,6.060760975,354.357603
2,1,B4,25,0.219461382,6.583749534,348.504674
2,1,B3,1,0.211009277,6.33019341,348.376316
3,1,A4,5,0.194933356,5.847918533,346.78644
3,1,A4,24,0.204646638,6.139310439,344.829585
2,1,A5,25,0.196010938,5.880241643,344.78324
2,1,A6,16,0.20177051,6.053030152,344.422261
2,1,B5,22,0.192376829,5.771227494,343.969771
2,1,A3,23,0.229739216,6.89207578,341.851953
1,1,A5,21,0.239645435,7.189272237,341.73439
2,1,A3,22,0.236197061,7.085819368,340.359965
2,1,B2,15,0.224238206,6.727051082,339.945121
2,1,A4,4,0.254516935,7.635415322,339.525591
2,1,B2,13,0.228264004,6.847825803,338.287254
2,1,A5,9,0.191556676,5.746620357,337.714419
2,1,B2,11,0.190695331,5.720775222,335.242392
2,1,A3,25,0.204086658,6.12250782,335.110292
2,1,A1,11,0.190360251,5.710727916,331.607558
2,1,A2,8,0.188980144,5.669320673,331.282193
2,1,B4,2,0.196943262,5.908216541,329.092191
2,1,B4,21,0.192269362,5.767990764,327.050185
2,1,A1,5,0.196010937,5.880250403,325.574166
2,1,B1,3,0.183967637,5.518950845,319.91972
2,1,B1,1,0.188867546,5.665944553,318.997285
2,1,A3,9,0.214105315,6.423069038,318.374603
2,1,A3,10,0.202673477,6.080121102,318.197359
2,1,A5,1,0.188904544,5.667057917,317.359634
2,1,A5,23,0.178081562,5.342377295,315.382446
2,1,A5,5,0.179612391,5.388292583,313.603235
2,1,A4,11,0.181690385,5.450630006,313.234224
3,1,A4,15,0.176642735,5.299211203,312.834284
1,1,A6,12,0.176408032,5.292166337,312.595032
2,1,A3,4,0.278490156,8.354564175,312.187465
2,1,A3,14,0.209432376,6.28289238,308.912754
3,1,A2,5,0.173632595,5.208903923,308.024224
3,1,A4,4,0.171114549,5.133363041,306.123928
2,1,A3,24,0.198206101,5.94611303,304.840983
2,1,A4,13,0.176291803,5.288681656,304.455943
2,1,A5,21,0.171499916,5.144920221,302.697352
1,1,A6,8,0.170127114,5.103741328,300.954864
2,1,B2,2,0.304933441,9.147873702,300.664373
2,1,A3,13,0.195836727,5.875017544,299.042682
2,1,B1,11,0.176008098,5.280163634,298.333726
3,1,A2,24,0.165626264,4.968715426,295.808508
1,1,A4,20,0.166130318,4.983838424,293.053881
1,1,A5,23,0.219391379,6.581650629,292.887491
2,1,B3,24,0.178731235,5.361860582,291.868106
2,1,A2,21,0.164435929,4.932998285,290.558287
2,1,A3,18,0.174428722,5.232787674,290.249394
2,1,A6,17,0.163052491,4.891511633,288.602909
2,1,B5,23,0.161513523,4.845339058,287.978612
1,1,A5,24,0.194870391,5.84603748,286.849216
