Trail,Dose,Well,Minute,MD,MV,TD
1,1,A1,1,0.182694641,5.480765267,301.446157
1,1,A1,2,0.156651645,4.699484052,253.619013
1,1,A1,3,0.158890464,4.76664959,282.983916
1,1,A1,4,0.23667956,7.100287018,422.236335
1,1,A1,5,0.203893619,6.116720198,361.299492
1,1,A1,6,0.158600861,4.757960945,280.406322
1,1,A1,7,0.12400587,3.720125658,221.598489
1,1,A1,8,0.134702655,4.041022996,240.578941
1,1,A1,9,0.151402096,4.541999014,267.073298
1,1,A1,10,0.15418223,4.625403364,265.810165
1,1,A1,11,0.152328009,4.569778353,270.07756
1,1,A1,12,0.161250629,4.837449807,284.123609
1,1,A1,13,0.168804663,5.064071053,301.485129
1,1,A1,14,0.194849068,5.84539233,326.956736
1,1,A1,15,0.207014717,6.210356063,367.037094
1,1,A1,16,0.023099389,0.692970861,41.070714
1,1,A1,17,0.017619227,0.528568651,31.467939
1,1,A1,18,0.044280496,1.328395437,79.084966
1,1,A1,19,0.08171015,2.451269401,145.852618
1,1,A1,20,0.087752112,2.6325295,156.111007
1,1,A1,21,0.128571464,3.857093038,228.985777
1,1,A1,22,0.197816705,5.934417431,351.915918
1,1,A1,23,0.17120714,5.136143142,303.55026
1,1,A1,24,0.225677201,6.770224278,401.479741
1,1,A1,25,0.190607779,5.718153756,337.947592
1,1,A1,26,0.202183962,6.065444231,5.256783
,,,,,,
1,1,A2,1,0.313050041,9.391360593,475.209962
1,1,A2,2,0.304777685,9.143200298,480.939187
1,1,A2,3,0.313034997,9.390922186,555.637119
1,1,A2,4,0.187005996,5.610100982,333.244684
1,1,A2,5,0.074902972,2.247057249,133.402194
1,1,A2,6,0.084476186,2.534248433,149.353897
1,1,A2,7,0.085232657,2.556945937,152.310758
1,1,A2,8,0.095748977,2.872429866,171.390668
1,1,A2,9,0.093310328,2.799270451,165.532522
1,1,A2,10,0.112476337,3.374243621,194.471587
1,1,A2,11,0.178821398,5.364570338,317.586802
1,1,A2,12,0.27936728,8.380901553,491.127678
1,1,A2,13,0.2318027,6.95398126,413.999623
1,1,A2,14,1.252192177,37.56519823,1011.771279
1,1,A2,15,0.059672654,1.790155358,105.799615
1,1,A2,16,0.069367158,2.080987058,123.334807
1,1,A2,17,0.085605398,2.568126181,152.891241
1,1,A2,18,0.088425837,2.652743768,157.928544
1,1,A2,19,0.114899831,3.446946015,204.4068
1,1,A2,20,0.117973571,3.539159075,210.346877
1,1,A2,21,0.150032186,4.500903048,266.30713
1,1,A2,22,0.150236266,4.507022712,267.57079
1,1,A2,23,0.251864671,7.555836706,446.556062
1,1,A2,24,0.358028301,10.74069857,632.994036
1,1,A2,25,0.065246176,1.957357724,115.811963
1,1,A2,26,0.070259769,2.107761154,1.826754
,,,,,,
1,1,A3,1,0.009577996,0.287336006,15.803694
1,1,A3,2,0.005322681,0.159678308,8.61742
1,1,A3,3,0.007316598,0.219494621,13.030861
1,1,A3,4,0.002998283,0.089947405,5.348936
1,1,A3,5,0.009052225,0.271563403,16.122013
1,1,A3,6,0.003898265,0.116946346,6.892133
1,1,A3,7,0.011762455,0.352867683,21.019507
1,1,A3,8,0.017126506,0.513788682,30.656445
1,1,A3,9,0.03860552,1.158149115,68.486193
1,1,A3,10,0.082767539,2.482990404,143.27061
1,1,A3,11,0.148059155,4.441710988,263.841415
1,1,A3,12,0.082456243,2.473652213,145.287901
1,1,A3,13,0.077561935,2.326826409,138.680739
1,1,A3,14,0.004387571,0.131625702,7.37112
1,1,A3,15,0.0029148,0.087442775,5.16794
1,1,A3,16,0.001902093,0.057061991,3.381921
1,1,A3,17,0.006483198,0.194493348,11.578992
1,1,A3,18,0.014299844,0.428989289,25.539522
1,1,A3,19,0.017313338,0.519392549,30.904308
1,1,A3,20,0.033129918,0.993883803,59.070643
1,1,A3,21,0.058184428,1.745509506,103.626466
1,1,A3,22,0.049570177,1.48708479,88.383625
1,1,A3,23,0.015271589,0.458141277,27.137614
1,1,A3,24,0.039141454,1.174227173,69.632647
1,1,A3,25,0.034767567,1.04301169,61.712432
1,1,A3,26,0.053673808,1.610182692,1.395519
1,1,A4,Not Used ,,,
1,1,A5,1,0.135963667,4.078853994,224.34005
1,1,A5,2,0.109136928,3.2740626,176.692686
1,1,A5,3,0.109619095,3.288527153,195.231609
1,1,A5,4,0.12151325,3.645345701,216.779638
1,1,A5,5,0.146693706,4.400749933,261.26149
1,1,A5,6,0.066747797,2.002404021,118.010105
1,1,A5,7,0.088183811,2.645476465,157.408103
1,1,A5,8,0.113847819,3.415385747,202.649118
1,1,A5,9,0.134623632,4.038652832,237.20684
1,1,A5,10,0.155731256,4.671869394,267.390566
1,1,A5,11,0.145758866,4.372705893,257.993192
1,1,A5,12,0.116215491,3.486415148,204.771695
1,1,A5,13,0.138208431,4.14619571,247.116675
1,1,A5,14,0.077387477,2.321592634,129.856187
1,1,A5,15,0.091484548,2.74449775,162.202104
1,1,A5,16,0.098236598,2.94705401,174.664671
1,1,A5,17,0.093303921,2.799079894,166.640803
1,1,A5,18,0.119837747,3.595085712,213.790541
1,1,A5,19,0.095326127,2.859744046,169.394527
1,1,A5,20,0.106851094,3.205489887,189.019585
1,1,A5,21,0.180309304,5.409214385,319.508087
1,1,A5,22,0.105726501,3.17174802,188.510352
1,1,A5,23,0.082512884,2.475351138,146.460369
