Trial,Dose,Well,Minute,MD,MV,TD
3,1,A4,10,0.401505877,12.04501989,633.977779
1,1,A2,24,0.358028301,10.74069857,632.994036
3,1,A5,17,0.377240194,11.31705108,623.955281
3,1,A1,24,0.410259881,12.30762904,571.081755
1,1,A2,3,0.313034997,9.390922186,555.637119
3,1,A4,6,0.311707995,9.351100602,533.020672
3,1,A1,19,0.348383613,10.45135634,532.330161
3,1,A3,10,0.369587734,11.08747485,532.206337
3,1,A3,21,0.30326111,9.097714074,530.706942
3,1,A5,7,0.360173831,10.80506583,522.972402
2,1,B1,11,0.299138141,8.974022341,512.423635
2,1,A6,21,0.282959491,8.488671892,498.008705
1,1,A2,12,0.27936728,8.380901553,491.127678
2,1,A3,11,0.306623759,9.198586859,484.158915
2,1,A6,20,0.275234343,8.256912412,482.761038
1,1,A2,2,0.304777685,9.143200298,480.939187
1,1,A2,1,0.313050041,9.391360593,475.209962
2,1,A6,18,0.270280493,8.108296376,474.342265
3,1,A6,5,0.263522564,7.905568062,469.070164
3,1,A6,4,0.266818073,8.004428343,468.532537
3,1,A1,15,0.330732356,9.92184268,467.655552
1,1,A6,3,0.262064298,7.861817215,466.736514
3,1,A1,16,0.306865232,9.205808395,464.593961
3,1,A2,4,0.256217648,7.686439865,454.530108
3,1,A1,9,0.310518396,9.315415127,453.667377
2,1,A1,5,0.265315996,7.959368683,453.159721
3,1,A6,25,0.25635046,7.690404698,450.151408
1,1,A2,23,0.251864671,7.555836706,446.556062
3,1,A4,16,0.251293964,7.538713454,444.539023
1,1,A6,5,0.244067004,7.321906906,434.683334
2,1,A6,19,0.244910947,7.34722654,433.247466
1,1,A6,1,0.261213462,7.836298667,431.002212
1,1,A6,2,0.264703732,7.941004923,428.025934
3,1,A5,8,0.390153424,11.70444964,427.998306
3,1,A1,14,0.298873287,8.966081271,427.986547
3,1,A1,20,0.296374346,8.891093248,427.964556
3,1,A5,11,1.15093172,34.52747092,426.995668
1,1,A6,4,0.239449237,7.183371462,425.740744
3,1,A3,4,0.245382459,7.361366449,425.002419
1,1,A1,4,0.23667956,7.100287018,422.236335
3,1,A1,18,0.362485058,10.87441822,420.482667
1,1,A2,13,0.2318027,6.95398126,413.999623
3,1,A6,2,0.263154135,7.894522099,411.309913
2,1,A3,21,0.245389219,7.361569812,404.892212
3,1,A1,6,0.29790063,8.936894177,403.655353
1,1,A1,24,0.225677201,6.770224278,401.479741
3,1,A5,4,0.227837221,6.835025835,395.525416
2,1,A6,11,0.226336467,6.790005931,393.825453
2,1,A6,13,0.24777411,7.433108439,393.713061
2,1,A3,13,0.256634313,7.698917764,393.677036
3,1,A1,10,0.280645922,8.419255307,393.465583
3,1,A6,12,0.225359827,6.76069367,392.351459
3,1,A6,15,0.219413634,6.582318788,389.239787
3,1,A3,15,0.226568265,6.796944786,385.845755
3,1,A6,21,0.215433551,6.462918624,385.195189
3,1,A6,24,0.217241573,6.517153509,383.86586
2,1,A1,3,0.233707875,7.011140857,381.878668
3,1,A3,25,0.220445939,6.613278893,378.505678
3,1,A3,22,0.213441233,6.403150244,376.083452
3,1,A6,23,0.210365907,6.310890796,375.082413
3,1,A6,1,0.211240306,6.337122177,374.529062
2,1,A1,4,0.223869326,6.715991237,369.160518
2,1,A6,17,0.219922539,6.597586575,368.590175
1,1,A1,15,0.207014717,6.210356063,367.037094
2,1,A2,11,0.215269495,6.457985446,366.819219
3,1,A3,23,0.205928672,6.177771075,365.729321
2,1,A3,12,0.236824776,7.104642772,365.657454
3,1,A5,6,0.252836929,7.584995472,361.303972
1,1,A1,5,0.203893619,6.116720198,361.299492
3,1,A1,12,0.219588638,6.587567058,357.490303
2,1,A2,14,0.212822746,6.38458578,356.052454
1,1,A1,22,0.197816705,5.934417431,351.915918
2,1,B1,21,0.206914068,6.207331339,350.719345
3,1,A6,14,0.207755967,6.232592985,349.445537
2,1,A5,11,0.201986547,6.059506907,346.810901
3,1,A6,3,0.255744934,7.672239786,346.022896
3,1,A3,24,0.199558753,5.986682167,344.438407
2,1,A4,15,0.240615373,7.21834188,341.67383
2,1,A3,14,0.202410682,6.07222787,340.252356
3,1,A1,21,0.191847602,5.755349145,338.802866
1,1,A1,25,0.190607779,5.718153756,337.947592
2,1,A3,24,0.205881276,6.176347396,337.645292
3,1,A3,14,0.203518114,6.105461746,336.822478
2,1,A4,13,0.228769144,6.862968216,336.061872
1,1,A2,4,0.187005996,5.610100982,333.244684
2,1,A5,20,0.190020148,5.700513105,332.915299
3,1,A5,5,0.208949058,6.268374074,331.811104
3,1,A1,13,0.202471142,6.074046775,331.44526
3,1,A6,22,0.187007838,5.610161837,330.816866
3,1,A1,22,0.193527927,5.805757126,329.965116
3,1,A1,8,0.213773821,6.413115459,328.142816
1,1,A1,14,0.194849068,5.84539233,326.956736
3,1,B1,4,0.183528432,5.505774607,326.680609
3,1,A6,13,0.184600104,5.537925074,323.419382
2,1,A6,22,0.185065404,5.551883912,322.198868
