Trial,Dose,Well,Minute,MD ,MV,TD
1,1,A1,1,0.091274358,2.738192765,163.381101
1,1,A1,2,0.097848272,2.935405253,164.287249
1,1,A1,3,0.09411401,2.823380998,148.041337
1,1,A1,4,0.072856351,2.185661378,130.048587
1,1,A1,5,0.045858541,1.375738219,78.55568
1,1,A1,6,0.052845334,1.585337019,93.959003
1,1,A1,7,0.046303075,1.389073617,82.697292
1,1,A1,8,0.049532327,1.485948957,88.365672
1,1,A1,9,0.062448383,1.873424585,111.283018
1,1,A1,10,0.058752036,1.762535637,104.637376
1,1,A1,11,0.049930916,1.497907363,89.376339
1,1,A1,12,0.032003089,0.960078196,56.933496
1,1,A1,13,0.035437376,1.063107145,63.432903
1,1,A1,14,0.036452938,1.093573108,64.849777
1,1,A1,15,0.046992922,1.40976702,82.801528
1,1,A1,16,0.06691507,2.007424642,119.510315
1,1,A1,17,0.053340885,1.600204021,93.399889
1,1,A1,18,0.075975643,2.279236824,133.261278
1,1,A1,19,0.0612133,1.836374083,109.44938
1,1,A1,20,0.076597037,2.297879784,131.210724
1,1,A1,21,0.077858031,2.335709742,138.976585
1,1,A1,22,0.070823016,2.124661283,125.8525
1,1,A1,23,0.069690119,2.090673136,123.351511
1,1,A1,24,0.075409485,2.262252638,132.946922
1,1,A1,25,0.066827111,2.00478466,119.019085
1,1,A1,26,0.116198462,3.485893462,3.02116
,,,,,,
1,1,A2,1,0.035239846,1.057180946,61.493532
1,1,A2,2,0.043621631,1.308630749,75.68353
1,1,A2,3,0.068612342,2.058343046,116.229308
1,1,A2,4,0.057637732,1.729108888,101.557683
1,1,A2,5,0.062045262,1.861333324,110.316476
1,1,A2,6,0.079822183,2.394635382,141.205441
1,1,A2,7,0.14104766,4.231373953,250.500645
1,1,A2,8,0.232556996,6.976614849,409.067756
1,1,A2,9,0.289381091,8.681315734,512.783294
1,1,A2,10,0.324811785,9.744224858,572.967989
1,1,A2,11,0.288238984,8.647050357,508.741806
1,1,A2,12,0.22958556,6.887475134,410.039811
1,1,A2,13,0.185856268,5.575614192,330.266589
1,1,A2,14,0.172398695,5.171892515,308.421266
1,1,A2,15,0.139109576,4.173234108,247.893265
1,1,A2,16,0.114715739,3.44142787,205.226457
