Trial,Dose,Well,Minute,MD ,MV,TD
1,1,A1,1,0.091274358,2.738192765,163.381101
2,1,A1,1,0.129296247,3.878835954,229.11295
3,1,A1,1,0.097082072,2.912420802,173.000253
1,1,A1,2,0.097848272,2.935405253,164.287249
2,1,A1,2,0.140002622,4.200019496,250.044682
3,1,A1,2,0.096899781,2.906952617,161.822634
1,1,A1,3,0.09411401,2.823380998,148.041337
2,1,A1,3,0.141386854,4.2415467,254.072177
3,1,A1,3,0.105414332,3.162386301,188.375412
1,1,A1,4,0.072856351,2.185661378,130.048587
2,1,A1,4,0.141942225,4.258205905,254.076583
3,1,A1,4,0.093934386,2.817990425,167.860748
1,1,A1,5,0.045858541,1.375738219,78.55568
2,1,A1,5,0.149435136,4.482989955,266.592282
3,1,A1,5,0.087413896,2.62237863,156.296046
1,1,A1,6,0.052845334,1.585337019,93.959003
2,1,A1,6,0.078836032,2.365047768,139.539776
3,1,A1,6,0.071013461,2.130374334,126.830042
1,1,A1,7,0.046303075,1.389073617,82.697292
2,1,A1,7,0.06671189,2.001327466,119.28086
3,1,A1,7,0.175465912,5.263896189,274.428686
1,1,A1,8,0.049532327,1.485948957,88.365672
2,1,A1,8,0.071229952,2.136872601,96.943964
3,1,A1,8,0.137434508,4.122976799,197.905691
1,1,A1,9,0.062448383,1.873424585,111.283018
2,1,A1,9,0.063641114,1.909206607,113.09026
3,1,A1,9,0.039169749,1.17507943,68.077023
1,1,A1,10,0.058752036,1.762535637,104.637376
2,1,A1,10,0.064313374,1.92937333,113.963298
3,1,A1,10,0.012149528,0.364480291,21.686908
1,1,A1,11,0.049930916,1.497907363,89.376339
2,1,A1,11,0.122530158,3.675851587,217.00091
3,1,A1,11,0.031011211,0.930323328,53.959508
1,1,A1,12,0.032003089,0.960078196,56.933496
2,1,A1,12,0.122393393,3.67175082,202.928245
3,1,A1,12,0.118664587,3.559888078,210.510977
1,1,A1,13,0.035437376,1.063107145,63.432903
2,1,A1,13,0.126417194,3.792462551,225.022606
3,1,A1,13,0.085283631,2.558472068,151.378445
1,1,A1,14,0.036452938,1.093573108,64.849777
2,1,A1,14,0.133731082,4.011879177,237.37267
3,1,A1,14,0.120220799,3.606571432,186.342239
1,1,A1,15,0.046992922,1.40976702,82.801528
2,1,A1,15,0.108969404,3.269037844,192.548937
3,1,A1,15,0.121737375,3.65207114,196.484124
1,1,A1,16,0.06691507,2.007424642,119.510315
2,1,A1,16,0.081034237,2.430991963,144.484045
3,1,A1,16,0.066588345,1.997621461,117.128898
1,1,A1,17,0.053340885,1.600204021,93.399889
2,1,A1,17,0.069386263,2.081559515,123.09123
3,1,A1,17,0.071343665,2.140279471,97.027384
1,1,A1,18,0.075975643,2.279236824,133.261278
2,1,A1,18,0.023636554,0.709086275,41.623972
3,1,A1,18,0.0300903,0.902696646,39.207661
1,1,A1,19,0.0612133,1.836374083,109.44938
2,1,A1,19,0.01172748,0.35181943,20.57
3,1,A1,19,0.034786287,1.043573633,61.954378
1,1,A1,20,0.076597037,2.297879784,131.210724
2,1,A1,20,0.025806697,0.774189254,45.677854
3,1,A1,20,0.032429333,0.97286595,57.335061
1,1,A1,21,0.077858031,2.335709742,138.976585
2,1,A1,21,0.123235285,3.697004587,216.524395
3,1,A1,21,0.03632146,1.089628344,64.688521
1,1,A1,22,0.070823016,2.124661283,125.8525
2,1,A1,22,0.122474051,3.674174475,214.574537
3,1,A1,22,0.080795931,2.42384442,137.272287
1,1,A1,23,0.069690119,2.090673136,123.351511
2,1,A1,23,0.121017925,3.630483848,212.26544
3,1,A1,23,0.088311673,2.649310864,153.309064
1,1,A1,24,0.075409485,2.262252638,132.946922
2,1,A1,24,0.083504524,2.505099462,145.798899
3,1,A1,24,0.080633424,2.418968718,144.011296
1,1,A1,25,0.066827111,2.00478466,119.019085
2,1,A1,25,0.099022739,2.970639567,173.784907
3,1,A1,25,0.13621444,4.086367729,184.70678
1,1,A2,1,0.035239846,1.057180946,61.493532
2,1,A2,1,0.21324995,6.397405739,377.878912
3,1,A2,1,0.118255112,3.547604484,210.730609
1,1,A2,2,0.043621631,1.308630749,75.68353
2,1,A2,2,0.17547138,5.264068432,313.391884
3,1,A2,2,0.125141742,3.754197548,208.736426
1,1,A2,3,0.068612342,2.058343046,116.229308
2,1,A2,3,0.171976134,5.159209677,308.69716
3,1,A2,3,0.132578283,3.977295042,236.917391
1,1,A2,4,0.057637732,1.729108888,101.557683
2,1,A2,4,0.197291668,5.918666592,353.152086
3,1,A2,4,0.132889594,3.986632983,237.473704
1,1,A2,5,0.062045262,1.861333324,110.316476
2,1,A2,5,0.124895599,3.746813212,222.813749
3,1,A2,5,0.128904017,3.867065962,230.480382
1,1,A2,6,0.079822183,2.394635382,141.205441
